Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
R5LAM,IMAGE - RCP3-PD (2.6),"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,20.164,22.355,24.505,25.850,25.579,24.814,23.665,23.185,22.803,22.023,20.897,19.812,
R5MAF,IMAGE - RCP3-PD (2.6),"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,13.316,14.902,16.333,16.896,17.478,17.838,17.352,18.462,19.251,19.578,19.377,19.115,
R5OECD,IMAGE - RCP3-PD (2.6),"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,23.068,22.921,22.791,20.254,18.302,16.618,14.728,14.162,13.583,12.992,12.082,10.804,
R5REF,IMAGE - RCP3-PD (2.6),"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,6.920,6.808,6.707,6.100,5.662,5.259,4.676,5.769,6.847,7.396,7.434,7.468,
World,IMAGE - RCP3-PD (2.6),"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,125.248,133.150,140.362,133.908,126.422,118.953,107.073,106.376,104.405,101.607,97.112,92.328,
R5ASIA,IMAGE - RCP3-PD (2.6),CH4 emissions - Grassland burning,TgCH4/yr,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,
R5LAM,IMAGE - RCP3-PD (2.6),CH4 emissions - Grassland burning,TgCH4/yr,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,
R5MAF,IMAGE - RCP3-PD (2.6),CH4 emissions - Grassland burning,TgCH4/yr,6.370,6.370,6.370,6.370,6.370,6.370,6.370,6.370,6.371,6.371,6.371,6.371,
R5OECD,IMAGE - RCP3-PD (2.6),CH4 emissions - Grassland burning,TgCH4/yr,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,
R5REF,IMAGE - RCP3-PD (2.6),CH4 emissions - Grassland burning,TgCH4/yr,0.655,0.655,0.655,0.655,0.655,0.655,0.654,0.654,0.654,0.654,0.654,0.653,
World,IMAGE - RCP3-PD (2.6),CH4 emissions - Grassland burning,TgCH4/yr,8.913,8.913,8.913,8.913,8.913,8.913,8.913,8.913,8.913,8.913,8.913,8.913,
R5ASIA,IMAGE - RCP3-PD (2.6),CH4 emissions - Forest burning,TgCH4/yr,8.540,7.845,8.156,8.109,8.269,7.506,7.643,7.663,7.513,7.617,7.558,7.548,1) MESSAGE data only reported for main tropical regions based on RETRO
R5LAM,IMAGE - RCP3-PD (2.6),CH4 emissions - Forest burning,TgCH4/yr,3.718,3.248,3.457,2.152,2.297,2.330,1.972,2.363,2.141,1.870,2.141,1.940,1) MESSAGE data only reported for main tropical regions based on RETRO
R5MAF,IMAGE - RCP3-PD (2.6),CH4 emissions - Forest burning,TgCH4/yr,1.311,2.996,1.878,2.755,2.274,1.050,1.051,1.323,1.084,0.920,0.730,0.697,1) MESSAGE data only reported for main tropical regions based on RETRO
R5OECD,IMAGE - RCP3-PD (2.6),CH4 emissions - Forest burning,TgCH4/yr,0.842,0.629,0.625,0.625,0.771,0.667,0.626,0.731,0.650,0.636,0.767,0.649,1) MESSAGE data only reported for main tropical regions based on RETRO
